id	name
310110	Wireless 2000 PCS
310020	Union Telephone
310260	T-Mobile
310030	Centennial
310310	T-Mobile
310040	Concho Wireless 
310460	Simmetry
310070	Highland Cellular
310080	Corr Wireless
310090	Edge Wireless
310100	Plateau Wireless
310170	T-Mobile (former Cingular Wireless CA/NV)
310180	West Central
310190	Alaska Wireless
310320	Cellular One (not Dobson)
310340	WestLink
310390	Yorkville
310410	Cingular Wireless
310420	Cincinnati Bell
310430	Alaska DigiTel
310440	Cellular One (not Dobson)
310450	Viaero Wireless
310460	Simmetry (formerly OneLink PCS)
310490	SunCom
310500	Alltel (formerly PSC Wireless - GA/AL region only)
310530	West VA Wireless
310540	Oklahoma Western
310560	Cellular One DCS
310590	Western Wireless (now part of Alltel)
310610	Epic Touch
310620	Coleman Telecomm
310630	AmeriLink PCS
310640	Einstein PCS
310680	Cellular One DCS (Dobson. Formerly NPI Wireless)
310690	Immix Wireless
310740	Telemetrix
310760	Panhandle Telecomm
310770	Iowa Wireless
310790	PinPoint Wireless
310830	Caprock Cellular
310870	Kaplan
310880	Advantage Cellular
310890	RCC/Unicell
310900	Texas Cellular
310910	First Cellular
310940	Digital Cellular
310950	XIT Wireless
310980	Cingular Wireless (not in commercial use)
310990	Cingular Wireless (not in commercial use)
311000	Mid-Tex Cellular
311030	Indigo Wireless
311040	Commnet Wireless
311050	Wilkes Cellular
311070	Easterbrooke
311080	Pine Cellular
311090	Siouxland PCS 
311110	High Plains Wireless
311130	Cell One Amarillo
311140	Sprocket (aka MBO Wireless)
311150	Wilkes Cellular
311160	Cellular One DCS (Dobson. Formerly EMW)
311170	PetroCom
311180	Cingular Wireless (not in commercial use)
311190	Cellular Properties Inc. (aka CellOne East Central IL)
311210	Farmers Cellular
311250	USA i CAN
